id;nombre;fecha;latitud;longitud;descripcion
1;Developer Shoes Music;2019-06-14T20:31:47;online e-business;systems integrate;5765622048545450
2;implement;2019-06-14T23:49:48;Borders EXE payment;Checking Account;696e766f696365204f7574646f6f7273204e657720596f726b
3;multi-byte Jamaican Dollar North Carolina;2019-06-15T11:45:59;haptic parsing;revolutionize Branding;7465616c20616e616c797a696e672079656c6c6f77
4;Books Generic;2019-06-14T22:27:30;Handcrafted Plastic Shirt quantifying;wireless;687962726964
5;Solomon Islands Dollar;2019-06-15T06:29:25;Accountability Handmade Cotton Bacon;intermediate Table quantify;57796f6d696e6720696e7465726661636520436f74746f6e
6;quantify;2019-06-15T06:40:16;Infrastructure SSL bandwidth;application Configurable iterate;4265726b7368697265206e617669676174696e67
7;superstructure;2019-06-15T12:27:03;Small Frozen Salad bypassing;time-frame Quality;426f726465727320426f72646572732050726163746963616c
8;methodical;2019-06-15T06:57:45;Danish Krone parse;neural Wooden Optimization;54617374792052756262657220436172206d696e64736861726520455845
9;bandwidth Liaison;2019-06-14T22:20:16;generating SDD bypassing;Algerian Dinar Fantastic Fresh Salad;537465656c2041766f6e20566973696f6e617279
10;exploit transition;2019-06-14T19:20:36;Interactions;Pennsylvania dynamic bandwidth;6e61766967617465204f6b6c61686f6d61
